2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_index.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_folder.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_view.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_user.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_info.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_users.gif, status=304, durationMs=0
2026-05-19 15:45:09 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-05-19 15:45:09 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-05-19 15:48:14 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=9
2026-05-19 15:49:19 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=1
2026-05-19 15:49:19 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-05-19 15:51:36 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=5
2026-05-19 15:55:04 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=2
2026-05-19 15:57:11 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=2
2026-05-19 15:57:53 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=8
2026-05-19 15:58:34 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=3
2026-05-19 16:07:55 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=1
2026-05-19 16:07:55 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=1
2026-05-19 16:08:32 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=4
2026-05-19 16:09:17 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=3
2026-05-19 16:13:21 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=2
2026-05-19 16:14:09 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=11
2026-05-19 16:15:55 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=4
2026-05-19 16:16:36 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=5
2026-05-19 16:18:10 ERROR - method=POST, uri=/accounts/1002/standing-orders, status=500, durationMs=5
2026-05-19 16:19:49 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=11
2026-05-19 16:20:10 ERROR - method=POST, uri=/accounts/1002/standing-orders, status=500, durationMs=64
2026-05-19 16:21:21 ERROR - method=GET, uri=/api/interest-rates, status=500, durationMs=5
