2026-04-30 15:39:05 INFO  - method=POST, uri=/api/customers, status=201, durationMs=36
2026-04-30 15:47:57 INFO  - method=POST, uri=/customers/1/accounts, status=201, durationMs=90
2026-04-30 15:59:10 INFO  - method=GET, uri=/accounts/1000, status=200, durationMs=21
2026-04-30 16:03:53 INFO  - method=POST, uri=/accounts/1000/deposit, status=200, durationMs=71
2026-05-19 15:23:18 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=240
2026-05-19 15:23:18 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=104
2026-05-19 15:23:18 INFO  - method=POST, uri=/api/customers, status=201, durationMs=30
2026-05-19 15:23:19 INFO  - method=GET, uri=/api/customers/2, status=200, durationMs=18
2026-05-19 15:23:19 INFO  - method=GET, uri=/customers/2/accounts, status=200, durationMs=19
2026-05-19 15:30:28 INFO  - method=GET, uri=/customers/2/accounts, status=200, durationMs=5
2026-05-19 15:30:28 INFO  - method=GET, uri=/api/customers/2, status=200, durationMs=6
2026-05-19 15:32:10 INFO  - method=GET, uri=/api/customers/2, status=200, durationMs=5
2026-05-19 15:32:10 INFO  - method=GET, uri=/customers/2/accounts, status=200, durationMs=9
2026-05-19 15:35:52 INFO  - method=GET, uri=/customers/2/accounts, status=200, durationMs=90
2026-05-19 15:36:34 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=156
2026-05-19 15:36:34 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=73
2026-05-19 15:38:09 INFO  - method=GET, uri=/h2-console/login.jsp, status=200, durationMs=14
2026-05-19 15:38:09 INFO  - method=GET, uri=/h2-console/stylesheet.css, status=200, durationMs=7
2026-05-19 15:38:09 INFO  - method=GET, uri=/h2-console/login.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=2
2026-05-19 15:38:09 INFO  - method=GET, uri=/h2-console/background.gif, status=200, durationMs=2
2026-05-19 15:38:24 INFO  - method=POST, uri=/h2-console/test.do?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=10
2026-05-19 15:38:26 INFO  - method=POST, uri=/h2-console/login.do?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=5
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/help.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/header.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=2
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/query.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=3
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_help.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_history.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_line.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_disconnect.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_rollback.gif, status=200, durationMs=0
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_commit.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_refresh.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_run.gif, status=200, durationMs=3
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_run_selected.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/icon_stop.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=56
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree.js, status=200, durationMs=2
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_table.gif, status=200, durationMs=2
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_column.gif, status=200, durationMs=2
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_minus.gif, status=200, durationMs=2
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_database.gif, status=200, durationMs=2
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_plus.gif, status=200, durationMs=2
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_empty.gif, status=200, durationMs=3
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_users.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_folder.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_info.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_index_az.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_index.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_type.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_view.gif, status=200, durationMs=1
2026-05-19 15:38:26 INFO  - method=GET, uri=/h2-console/tree_user.gif, status=200, durationMs=2
2026-05-19 15:39:16 INFO  - method=POST, uri=/h2-console/login.do?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=11
2026-05-19 15:39:16 INFO  - method=GET, uri=/h2-console/header.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=1
2026-05-19 15:39:16 INFO  - method=GET, uri=/h2-console/help.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=0
2026-05-19 15:39:16 INFO  - method=GET, uri=/h2-console/query.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=0
2026-05-19 15:39:16 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=24
2026-05-19 15:39:35 INFO  - method=POST, uri=/h2-console/query.do?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=4
2026-05-19 15:39:35 INFO  - method=GET, uri=/h2-console/table.js, status=200, durationMs=2
2026-05-19 15:41:19 INFO  - method=POST, uri=/h2-console/login.do?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=11
2026-05-19 15:41:19 INFO  - method=GET, uri=/h2-console/header.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=0
2026-05-19 15:41:19 INFO  - method=GET, uri=/h2-console/help.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=0
2026-05-19 15:41:19 INFO  - method=GET, uri=/h2-console/query.jsp?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=1
2026-05-19 15:41:19 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=17
2026-05-19 15:41:48 INFO  - method=POST, uri=/h2-console/login.do?jsessionid=a53660614435d9627bd845b51727b080, status=200, durationMs=14
2026-05-19 15:41:48 INFO  - method=GET, uri=/h2-console/stylesheet.css, status=200, durationMs=5
2026-05-19 15:41:48 INFO  - method=GET, uri=/h2-console/login.jsp?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=2
2026-05-19 15:41:48 INFO  - method=GET, uri=/h2-console/background.gif, status=200, durationMs=1
2026-05-19 15:41:53 INFO  - method=POST, uri=/h2-console/test.do?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=6
2026-05-19 15:41:54 INFO  - method=POST, uri=/h2-console/login.do?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=6
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/header.jsp?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/help.jsp?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/query.jsp?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=3
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_disconnect.gif, status=200, durationMs=3
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_line.gif, status=200, durationMs=3
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_help.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_history.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_commit.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_refresh.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_rollback.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_run_selected.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_run.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/icon_stop.gif, status=200, durationMs=2
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=44
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree.js, status=200, durationMs=2
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_minus.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_column.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_database.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_table.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_plus.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_empty.gif, status=200, durationMs=2
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_index_az.gif, status=200, durationMs=0
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_index.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_type.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_folder.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_info.gif, status=200, durationMs=0
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_view.gif, status=200, durationMs=2
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_users.gif, status=200, durationMs=1
2026-05-19 15:41:54 INFO  - method=GET, uri=/h2-console/tree_user.gif, status=200, durationMs=1
2026-05-19 15:42:01 INFO  - method=POST, uri=/h2-console/query.do?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=3
2026-05-19 15:42:01 INFO  - method=GET, uri=/h2-console/table.js, status=200, durationMs=2
2026-05-19 15:44:00 INFO  - method=POST, uri=/h2-console/login.do?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=10
2026-05-19 15:44:00 INFO  - method=GET, uri=/h2-console/header.jsp?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=1
2026-05-19 15:44:00 INFO  - method=GET, uri=/h2-console/help.jsp?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=0
2026-05-19 15:44:00 INFO  - method=GET, uri=/h2-console/query.jsp?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=1
2026-05-19 15:44:00 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=24
2026-05-19 15:44:13 INFO  - method=POST, uri=/h2-console/login.do?jsessionid=95627b63ad06a0e70a89b326ab8a8f40, status=200, durationMs=11
2026-05-19 15:44:13 INFO  - method=GET, uri=/h2-console/stylesheet.css, status=200, durationMs=5
2026-05-19 15:44:13 INFO  - method=GET, uri=/h2-console/login.jsp?jsessionid=c78238ec019d2bf9c2097ba5428fe361, status=200, durationMs=3
2026-05-19 15:44:13 INFO  - method=GET, uri=/h2-console/background.gif, status=200, durationMs=2
2026-05-19 15:44:14 INFO  - method=POST, uri=/h2-console/login.do?jsessionid=c78238ec019d2bf9c2097ba5428fe361, status=200, durationMs=7
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/header.jsp?jsessionid=c78238ec019d2bf9c2097ba5428fe361, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/query.jsp?jsessionid=c78238ec019d2bf9c2097ba5428fe361, status=200, durationMs=3
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/help.jsp?jsessionid=c78238ec019d2bf9c2097ba5428fe361, status=200, durationMs=2
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_line.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_disconnect.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_refresh.gif, status=200, durationMs=0
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_commit.gif, status=200, durationMs=2
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_rollback.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_run_selected.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_run.gif, status=200, durationMs=2
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_history.gif, status=200, durationMs=2
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_stop.gif, status=200, durationMs=2
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/icon_help.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=c78238ec019d2bf9c2097ba5428fe361, status=200, durationMs=48
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree.js, status=200, durationMs=3
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_table.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_column.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_minus.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_database.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_plus.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_empty.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_index_az.gif, status=200, durationMs=0
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_index.gif, status=200, durationMs=0
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_type.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_folder.gif, status=200, durationMs=0
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_users.gif, status=200, durationMs=0
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_view.gif, status=200, durationMs=2
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_user.gif, status=200, durationMs=1
2026-05-19 15:44:15 INFO  - method=GET, uri=/h2-console/tree_info.gif, status=200, durationMs=1
